species,longitude,latitude
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,15.5523099899292,76.9983215332031
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,15.5523099899292,76.9983215332031
Alaria esculenta,-0.897417008876801,60.8582496643066
Alaria esculenta,-145.268768310547,70.0317687988281
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-145.268768310547,70.0317687988281
Alaria esculenta,-69.3970031738281,48.351001739502
Alaria esculenta,-145.268768310547,70.0317687988281
Alaria esculenta,-66.7880020141602,44.8009986877441
Alaria esculenta,15.555609703064,76.9965972900391
Alaria esculenta,-70.213996887207,43.6259994506836
Alaria esculenta,-145.257553100586,70.0244979858398
Alaria esculenta,-66.7369995117188,45.0719985961914
Alaria esculenta,15.5463199615479,76.9978866577148
Alaria esculenta,-66.7880020141602,44.8009986877441
Alaria esculenta,15.5475902557373,76.9975433349609
Alaria esculenta,-69.3970031738281,48.351001739502
Alaria esculenta,-147.58171081543,70.3227691650391
Alaria esculenta,-70.5920028686523,43.1660003662109
Alaria esculenta,-147.58171081543,70.3227691650391
Alaria esculenta,-59.9599990844727,45.8959999084473
Alaria esculenta,-147.58171081543,70.3227691650391
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-147.58171081543,70.3227691650391
Alaria esculenta,-5.18197011947632,51.6556167602539
Alaria esculenta,15.5535001754761,76.9974212646484
Alaria esculenta,-4.90042400360107,54.0009727478027
Alaria esculenta,15.5580101013184,76.9982070922852
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,15.5516901016235,76.996337890625
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-147.578994750977,70.3219985961914
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-147.578994750977,70.3219985961914
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-147.578994750977,70.3219985961914
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-147.578994750977,70.3219985961914
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-147.578994750977,70.3219985961914
Alaria esculenta,-4.90042400360107,54.0009727478027
Alaria esculenta,-6.35300016403198,55.2490005493164
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-6.38000011444092,52.1749992370605
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-5.71500015258789,54.8479995727539
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-7.75600004196167,55.2569999694824
Alaria esculenta,-5.18197011947632,51.6556167602539
Alaria esculenta,-4.90042400360107,54.0009727478027
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-4.24927377700806,50.3281478881836
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-4.90042400360107,54.0009727478027
Alaria esculenta,-5.18197011947632,51.6556167602539
Alaria esculenta,-4.48076105117798,54.6396636962891
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-4.48076105117798,54.6396636962891
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-5.10651397705078,54.7151260375977
Alaria esculenta,-5.18197011947632,51.6556167602539
Alaria esculenta,-3.74063992500305,58.9654502868652
Alaria esculenta,-5.32628393173218,51.6516151428223
Alaria esculenta,-3.82117605209351,50.15576171875
Alaria esculenta,-5.18197011947632,51.6556167602539
Alaria esculenta,-3.82117605209351,50.15576171875
Alaria esculenta,-5.32628393173218,51.6516151428223
